ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,ePUB,$15.99,$15.99,02-09-2010,Penguin Books Ltd,304,https://www.booktopia.com.au/23-things-they-don-t-tell-you-about-capitalism-ha-joon-chang/ebook/9780141957869.html
9.78E+12,Excalibur,Bernard Cornwell,ePUB,$15.99,$15.99,01-11-2007,Penguin Books Ltd,496,https://www.booktopia.com.au/excalibur-bernard-cornwell/ebook/9780141929743.html
9.78E+12,Myers+Chang at Home,Joanne Chang; Karen Akunowicz,ePUB,$46.19,$36.99,19-03-2024,HarperCollins,320,https://www.booktopia.com.au/myers-chang-at-home-joanne-chang/ebook/9780544836730.html
9.78E+12,Mastering Color Knitting,Melissa Leapman,ePUB,$15.42,$12.99,13-07-2011,Clarkson Potter/Ten Speed,,https://www.booktopia.com.au/mastering-color-knitting-melissa-leapman/ebook/9780307965493.html
9.78E+12,How I Became The Fittest Woman On Earth,Tia-Clair Toomey,ePUB,$17.59,$16.99,22-01-2018,BL SOUTHWICK PUBLISHING PTY LTD,202,https://www.booktopia.com.au/how-i-became-the-fittest-woman-on-earth-tia-clair-toomey/ebook/9780646987286.html
9.78E+12,Dubliners,James Joyce; Edna O'Brien; Malachy McCourt,ePUB,$8.55,$7.99,06-02-2007,Penguin Publishing Group,272,https://www.booktopia.com.au/dubliners-james-joyce/ebook/9781101042182.html
9.78E+12,Stitch 'N Bitch Crochet,Debbie Stoller,ePUB,$23.99,$23.99,13-02-2006,Workman Publishing Company,250,https://www.booktopia.com.au/stitch-n-bitch-crochet-debbie-stoller/ebook/9780761174981.html
9.78E+12,Lord of Chaos,Robert Jordan,ePUB,$12.99,$12.99,16-03-2010,"Little, Brown Book Group",1056,https://www.booktopia.com.au/lord-of-chaos-robert-jordan/ebook/9780748115396.html
9.78E+12,A Wartime Christmas,Carol Rivers,ePUB,$8.99,$8.99,01-08-2013,Simon & Schuster UK,464,https://www.booktopia.com.au/a-wartime-christmas-carol-rivers/ebook/9780857208347.html
9.78E+12,Blood Ties,Samantha Hayes,ePUB,$12.99,$12.99,04-03-2010,Headline,307,https://www.booktopia.com.au/blood-ties-samantha-hayes/ebook/9780755376605.html
9.78E+12,Infinity Gauntlet,Jim Starlin; George Perez; Ron Lim,ePUB,$16.12,$12.99,28-05-2014,Marvel Entertainment,,https://www.booktopia.com.au/infinity-gauntlet-jim-starlin/ebook/9780785170655.html
9.78E+12,No Way Back,M. J. Arlidge,ePUB,$2.99,$2.99,08-08-2016,Penguin Books Ltd,40,https://www.booktopia.com.au/no-way-back-m-j-arlidge/ebook/9781405926959.html
9.78E+12,Feel Better In 5,Dr Rangan Chatterjee,ePUB,$19.99,$19.99,26-12-2019,Penguin Books Ltd,272,https://www.booktopia.com.au/feel-better-in-5-dr-rangan-chatterjee/ebook/9780241397817.html
9.78E+12,Escaping Destiny,Amelia Hutchins,ePUB,$6.99,$6.99,30-07-2015,Amelia Hutchins,,https://www.booktopia.com.au/escaping-destiny-amelia-hutchins/ebook/9780991190928.html
9.78E+12,The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,ePUB,$12.99,$12.99,02-10-2012,Penguin Random House Children's UK,592,https://www.booktopia.com.au/the-mark-of-athena-heroes-of-olympus-book-3--rick-riordan/ebook/9780141967561.html
9.78E+12,The Five Dysfunctions of a Team,Patrick M. Lencioni,ePUB,$32.99,$32.99,03-06-2010,Wiley Professional Development (P&T),240,https://www.booktopia.com.au/the-five-dysfunctions-of-a-team-patrick-m-lencioni/ebook/9780470893869.html
9.78E+12,Christmas Bells,Jennifer Chiaverini,ePUB,$20.57,$16.99,27-10-2015,Penguin Publishing Group,,https://www.booktopia.com.au/christmas-bells-jennifer-chiaverini/ebook/9780698407091.html
